,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.1948,1.1948,2.62,暂停申购,暂停赎回,nan
2,2020-01-06,1.2025,1.2025,0.64,开放申购,开放赎回,nan
3,2020-01-07,1.1934,1.1934,-0.76,开放申购,开放赎回,nan
4,2020-01-08,1.1602,1.1602,-2.78,开放申购,开放赎回,nan
5,2020-01-09,1.141,1.141,-1.65,开放申购,开放赎回,nan
6,2020-01-10,1.132,1.132,-0.79,开放申购,开放赎回,nan
7,2020-01-13,1.1161,1.1161,-1.4,暂停申购,暂停赎回,nan
8,2020-01-14,1.112,1.112,-0.37,开放申购,开放赎回,nan
9,2020-01-15,1.1028,1.1028,-0.83,开放申购,开放赎回,nan
10,2020-01-16,1.1125,1.1125,0.88,开放申购,开放赎回,nan
11,2020-01-17,1.1156,1.1156,0.28,开放申购,开放赎回,nan
12,2020-01-20,1.1148,1.1148,-0.07,暂停申购,暂停赎回,nan
13,2020-01-21,1.1049,1.1049,-0.89,开放申购,开放赎回,nan
14,2020-01-22,1.0873,1.0873,-1.59,开放申购,开放赎回,nan
15,2020-01-23,1.0622,1.0622,,开放申购,开放赎回,nan
16,2020-02-03,0.9631,0.9631,-9.33,开放申购,开放赎回,nan
17,2020-02-04,0.9671,0.9671,0.42,开放申购,开放赎回,nan
18,2020-02-05,0.984,0.984,1.75,开放申购,开放赎回,nan
19,2020-02-06,0.9884,0.9884,0.45,开放申购,开放赎回,nan
20,2020-02-07,0.9778,0.9778,-1.07,开放申购,开放赎回,nan
21,2020-02-10,0.9659,0.9659,-1.22,开放申购,开放赎回,nan
22,2020-02-11,0.9717,0.9717,0.6,暂停申购,暂停赎回,nan
23,2020-02-12,0.9907,0.9907,1.96,开放申购,开放赎回,nan
24,2020-02-13,0.9952,0.9952,0.45,开放申购,开放赎回,nan
25,2020-02-14,1.0041,1.0041,0.89,开放申购,开放赎回,nan
26,2020-02-17,1.0053,1.0053,0.12,暂停申购,暂停赎回,nan
27,2020-02-18,1.0037,1.0037,-0.16,开放申购,开放赎回,nan
28,2020-02-19,1.026,1.026,2.22,开放申购,开放赎回,nan
29,2020-02-20,1.0325,1.0325,0.63,开放申购,开放赎回,nan
30,2020-02-21,1.0214,1.0214,-1.08,开放申购,开放赎回,nan
31,2020-02-24,0.9947,0.9947,-2.61,暂停申购,暂停赎回,nan
32,2020-02-25,0.9701,0.9701,-2.47,开放申购,开放赎回,nan
33,2020-02-26,0.9522,0.9522,-1.85,开放申购,开放赎回,nan
34,2020-02-27,0.9189,0.9189,-3.5,开放申购,开放赎回,nan
35,2020-02-28,0.8902,0.8902,-3.12,开放申购,开放赎回,nan
36,2020-03-02,0.9194,0.9194,3.28,开放申购,开放赎回,nan
37,2020-03-03,0.9177,0.9177,-0.18,开放申购,开放赎回,nan
38,2020-03-04,0.9177,0.9177,0.0,开放申购,开放赎回,nan
39,2020-03-05,0.9009,0.9009,-1.83,开放申购,开放赎回,nan
40,2020-03-06,0.8408,0.8408,-6.67,开放申购,开放赎回,nan
41,2020-03-09,0.6884,0.6884,-18.13,开放申购,开放赎回,nan
42,2020-03-10,0.7051,0.7051,2.43,限制大额申购,开放赎回,nan
43,2020-03-11,0.6963,0.6963,-1.25,暂停申购,开放赎回,nan
44,2020-03-12,0.6675,0.6675,-4.14,暂停申购,开放赎回,nan
45,2020-03-13,0.6877,0.6877,3.03,暂停申购,开放赎回,nan
46,2020-03-16,0.6376,0.6376,-7.29,暂停申购,开放赎回,nan
47,2020-03-17,0.6187,0.6187,-2.96,暂停申购,开放赎回,nan
48,2020-03-18,0.543,0.543,-12.24,暂停申购,开放赎回,nan
49,2020-03-19,0.5572,0.5572,2.62,暂停申购,开放赎回,nan
50,2020-03-20,0.5569,0.5569,-0.05,暂停申购,暂停赎回,nan
51,2020-03-23,0.5283,0.5283,-5.14,限制大额申购,开放赎回,nan
52,2020-03-24,0.5485,0.5485,3.82,限制大额申购,开放赎回,nan
53,2020-03-25,0.5578,0.5578,1.7,暂停申购,开放赎回,nan
54,2020-03-26,0.539,0.539,-3.37,暂停申购,开放赎回,nan
55,2020-03-27,0.5132,0.5132,-4.79,暂停申购,开放赎回,nan
56,2020-03-30,0.4922,0.4922,-4.09,暂停申购,开放赎回,nan
57,2020-03-31,0.496,0.496,0.77,暂停申购,开放赎回,nan
58,2020-04-01,0.487,0.487,-1.81,暂停申购,开放赎回,nan
59,2020-04-02,0.5424,0.5424,11.38,暂停申购,开放赎回,nan
60,2020-04-03,0.5977,0.5977,10.2,暂停申购,开放赎回,nan
61,2020-04-07,0.5884,0.5884,-1.56,暂停申购,开放赎回,nan
62,2020-04-08,0.5787,0.5787,-1.65,暂停申购,开放赎回,nan
63,2020-04-09,0.5746,0.5746,-0.71,暂停申购,开放赎回,nan
64,2020-04-10,0.5686,0.5686,-1.04,暂停申购,暂停赎回,nan
65,2020-04-13,0.5709,0.5709,0.4,暂停申购,暂停赎回,nan
66,2020-04-14,0.5491,0.5491,-3.82,暂停申购,开放赎回,nan
67,2020-04-15,0.5177,0.5177,-5.72,暂停申购,开放赎回,nan
68,2020-04-16,0.5115,0.5115,-1.2,暂停申购,开放赎回,nan
69,2020-04-17,0.5091,0.5091,-0.47,暂停申购,开放赎回,nan
70,2020-04-20,0.4737,0.4737,-6.95,暂停申购,开放赎回,nan
71,2020-04-21,0.3982,0.3982,-15.94,暂停申购,开放赎回,nan
72,2020-04-22,0.3641,0.3641,-8.56,暂停申购,开放赎回,nan
